id,__twarcretrieved_at,,text_for_analysis
409,5/3/2024,Democrat,monday views from the 6 az06 let s go to work n upandadam2022
410,5/3/2024,Republican,month after month the biden administration breaks inflation records n nmonth after month they do nothing to solve the crisis
411,5/3/2024,Republican,msnbc he was attacked by an illegal immigrant drug addict because the policies of democrats like her allowed him to be running rampant around san francisco spare me the crocodile tears
412,5/3/2024,Republican,msnbc thereidout mcconnell and co are intentionally throwing away control of the senate so they can blame trump and america first and continue peddling their myth of electability
413,5/3/2024,Democrat,mt vernon it was good to see you this morning no better way to start the day ia02
414,5/3/2024,Republican,mwilkes45 lehne_j annmclanekuster nhgop meredithangwin thank you i follow meredith now and will try to get in touch with her soon
415,5/3/2024,Republican,my campaign continues to build momentum toward victory raising over 130k in the 1-month july report n nthe incredible support from residents across the hudson valley shows how well positioned we are to win back ny18 so we can restore checks amp balances to dc
416,5/3/2024,Democrat,my campaign relies entirely on individual donors if you wanna see a progressive victory like sheila4congress help contribute today
417,5/3/2024,Democrat,my colleagues in the senate have a duty and an obligation to put party politics aside and get the protecting our kids act to the president s desk without delay n nenough is enough n nour children cannot afford to wait n nget this done
418,5/3/2024,Republican,my former professor benstein1944 lays out an impressive analysis of inflation it s causes dangers and cures inflation n n
419,5/3/2024,Democrat,my heart goes out to the families of joseph rosenbaum and anthony huber
420,5/3/2024,Democrat,my heart goes out to the families of the 10 innocent lives lost today during the mass shooting in buffalo this is what hate breeds and we need to confront it with action
421,5/3/2024,Republican,my heart is broken for the victims of the tragedy in uvalde texas and the family members of those victims my thoughts and prayers are with the parents family members and uvalde community n
422,5/3/2024,Democrat,my interview last night in the 11pm news with abc11_wtvd on the nc congressional amp ncga maps which are radically gerrymandered by the gop gerrymandering is one more attack on our democracy to undermine voters faith in our government and political system ncpol
423,5/3/2024,Republican,my kiddos and i had a great time at west warwick s st patrick s day parade we got to meet so many nice people n ni hope everyone has a happy st patrick s day this week
424,5/2/2024,Democrat,my name is brandon mosely i m running for congress against a maga republican who voted to silence the will of the people and overturn the 2020 election results i need your help here can you like retweet and follow to grow this campaign thanks
425,5/3/2024,Democrat,my name is eddie geller although i am a comedian saving democracy is no joke that s why when i saw scott franklin vote to decertify the election i decided to run now i m running against matt gaetz s wingman can you help my amplify my message by retweeting and following
426,5/3/2024,Democrat,my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house
427,5/3/2024,Democrat,my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house
428,5/3/2024,Democrat,my name is eddie geller and i am running in one of the closest races in the entire country with your help i will flip florida s 15th district blue and expand our majority in the house
429,5/3/2024,Democrat,my name is nick antonucci and i am running for congress in ny01 i am a life-long public servant and proud union member who has dedicated his life to teaching and will fight for long island workers
430,5/3/2024,Republican,my opponent lauren underwood says i m an anti vaccine candidate n nwrong n ni m a pro medical choice candidate n ni supported my parents getting vaccinated however i chose not to get vaccinated because that is my choice and my right n nprogressives love control
431,5/3/2024,Democrat,my opponent repmmm trying really really hard to explain her no vote on the infrastructure law headline candidate seen promoting big projects she voted against financing yep n n
432,5/2/2024,Democrat,my opponent s lobbying firm worked on behalf of the saudi arabian government against the families of 9 11 victims n ni m cosponsoring a bill to pull military support from the saudis for cutting oil production i will never sell our community out to the highest bidder pa08
433,5/2/2024,Republican,my opponent s top issue has always been climate change--refers to himself as the climate communicator --but now as gas prices go back up amp inflation soars he s trying to say climate change is not his top priority voters are not buying it il17
434,5/3/2024,Democrat,my opponent was on the capitol grounds on jan 6th derrickvanorden traveled to using campaign funds and has refused to release who he met with and why he was there n nplease support my campaign to keep an insurrectionist out of congress
435,5/3/2024,Republican,my statement on biden s comments that there is no federal solution to the covid-19 pandemic and that covid gets solved at the state level
436,5/3/2024,Republican,my team and i have cleared all of my signs off of the right of ways that we could find if you happen to see any of my signs out there please dm me so we can get them pulled off of the streets
437,5/3/2024,Republican,nance014 nickadamsinusa rigopchairwoman rhodeislandgop startchangeri lancia4congress exactly nance014
438,5/3/2024,Republican,naper_design jojofromjerz gender dysphoria is a mental illness look it up
439,5/3/2024,Democrat,nataliefornc is the real deal folks so happy to see he running for re-election to the nc senate
440,5/3/2024,Democrat,nblackshoe votelandsman smeadows4oh2 tamieuscongress forswartz matthewdiemer drvenoch shontelmbrown emiliasykesoh mattkilboy i don t have 19 out of state billionaires backing me like repmiketurner- please donate
441,5/3/2024,Democrat,need a reason to chip in to our campaign here s 5 n n1 ohio will decide senate control n2 trump endorsed my opponent jd vance n3 the gop is pouring millions into this race n4 we re ahead in the polls by one point n5 vance doesn t give a damn about workers
442,5/3/2024,Republican,new ad as a coach i know what it s like to be a part of a team amp put my players first n ncareer politician teresafornm sold out nm for a new team dc lobbyists amp joebiden n nin congress i won t be beholden to radical special interests watch below
443,5/3/2024,Democrat,new documents reveal low billionaire tax rates breaking points with kr v
444,5/3/2024,Republican,new il district 14 congressional map for 2022 boundaries did change
445,5/3/2024,Democrat,new merch alert n teamvallejo is fighting every day for south texas n nsupport our pueblo powered movement today by visiting our brand-new webstore tx15
446,5/3/2024,Democrat,new redistricting maps show that my district is one of the only democratic pick up opportunities in the country n ni m going to win this race flip florida s 15th and keep the house blue
447,5/3/2024,Democrat,new tv ad n wants you to think that he s running against joe biden n ni ve got news for you zach you re not
448,5/3/2024,Republican,new zealand truckers shut down the streets near the parliament buildings n ncanada is taking back their freedoms n nnew zealand is taking back their freedoms n nunited states we re arguing in facebook groups about why the convoy is starting in coachella valley california
449,5/3/2024,Republican,newest update it s still 2 too high and you re going to lose the midterms voteredtosaveamerica2022
450,5/3/2024,Republican,news12 hudson valley authorities add extra patrols for catholic masses for mother s day
451,5/3/2024,Republican,nicoletta0602 nicole this is outrageous schools should be concentrating on the 3rs and leave such things to the parents if this is the road our public schools are going to go down then it s definitely time for school choice rigopchairwoman rhodeislandgop startchangeri lancia4congress
452,5/3/2024,Republican,nikkifried
453,5/3/2024,Democrat,nina n nyou have met your strongest partners in person n nwe are all around you we are nationwide n nyou can lift our movement amp single-handedly create a wave this election
454,5/3/2024,Democrat,no american should go broke paying medical bills n nwe must provide affordable health insurance to all of our citizens in north carolina
455,5/3/2024,Democrat,no matter how cynical you become it s never enough to keep up - - lilytomlin
456,5/3/2024,Democrat,no one should go into debt for needing medicine and medical care
457,5/3/2024,Democrat,north carolina s future is bright and north carolina s future is blue
458,5/3/2024,Democrat,not only are we fighting for a better future for the people of district texas 15 but this fight will determine the fate of our entire nation as we fight to strengthen our hold on the house majority together we will win big in november because we must vamos por quince
459,5/3/2024,Republican,notice how they re marketing the magical covid pill as the pfizer pill n nit s not referred to by its medical name paxlovid nno the articles about it news outlets and today in biden s speech all call it the pfizer pill n ndirect gov-corp promotion n nfollow the money
460,5/3/2024,Democrat,now kevin mccarthy saying he ll put paul gosar and mtg back on cmtes if gop takes back house in 2022 gop normalizes their hateful rhetoric and actions ndo we want this to continue or elect candidates like marcus4georgia and i who are fighting to defeat them amp stop this chaos
461,5/3/2024,Republican,nv04 chancefornv
462,5/3/2024,Democrat,nvdems list your winners
463,5/3/2024,Democrat,ny01 will be one of the best opportunities in the country to flip a battleground seat from red to blue n ni m a lifelong long islander social worker and legislator who s ready to bring much needed progress to my community after years of lee zeldin s failed leadership
464,5/3/2024,Republican,ny18 endorsement n nhonored to announce i have been endorsed by the nypost n n thank you to the post for your support n
465,5/3/2024,Republican,nypost no he rubber stamped a fraudulent election
466,5/3/2024,Republican,oann and portland
467,5/3/2024,Democrat,october afternoons are for knocking doors n nbe sure to grab a friend and join us this week by signing up here tx15
468,5/3/2024,Republican,of california fourth graders scored below proficient in reading according to the latest data that s a increase from 2019 n ncalifornia spends more money per student than almost every other state but results are still not there n nit s time for school choice vouchers
469,5/3/2024,Republican,officially filed let s get working on lowering gas prices getting food on the shelves amp ensuring safe neighborhoods cranstontocongress allinwithallan
470,5/3/2024,Democrat,on mayday we honor the workers fighting for dignity and justice n ni m thinking today of sbworkersunited and amazonlabor proof that workers can take on the biggest battles and win and of mineworkers on strike for over a year in alabama holding the line in the toughest times
471,5/3/2024,Republican,on team duarte all are welcome bisonforduarte
472,5/3/2024,Republican,on this day 78 years ago allied forces stormed the beaches of normandy and changed the course of wwii and of the world n ntake a moment today to remember the sacrifices so many of our service members made on that day and since then to protect freedom for all dday78 dday
473,5/3/2024,Democrat,on this international labor day can we as a nation agree we will not do business with those who seek to break our unions mayday2022 firebezos
474,5/3/2024,Republican,one first-time candidate derrick anderson a combat veteran and former green beret mounted an aggressive ground-game that numerous voters said impressed them n n i m a true political outsider anderson told a pavilion full of voters n n va07 n n
475,5/3/2024,Democrat,one important issue that is very important to me arizonans and all americans is healthcare has voted against every protection for us from newborns to seniors ni will fight for healthcare coverage for everyone nwho s with me nplease rt n
476,5/3/2024,Republican,one of my favorite things about living in virginia is we are surrounded by american history presidentsday is a good opportunity to take advantage of this n ngeorge washington mountvernon nthomas jefferson tjmonticello njames madison jmmontpelier njames monroe jmonroemuseum
477,5/3/2024,Democrat,one of my top priorities in congress will be to strengthen social security and medicare these are earned benefits that protect our seniors health and financial stability but republicans continue to attack them
478,5/3/2024,Republican,opportunity4usa davidjtrone thank you
479,5/3/2024,Republican,orange county voters are excited to win n nthere s still time to vote today click the link below to find your polling location n n
480,5/3/2024,Republican,oregon families cannot take anymore government burdens inflation increased taxes amp prices labor increases increase cost of products price gouging enough we cannot sustain these bad policies i will fight for you and and your bottom line fightingagainstcommunism
481,5/3/2024,Republican,our citizens will be left on the street and where are our leaders sitting with their hands in the air waiting for washington to save us we need leadership that will fight for oregon n
482,5/3/2024,Democrat,our congressional delegation fought the last administration tooth and nail to get the portal bridge replaced i grilled dot officials in hearings held up for other things they wanted we even pretended portal was not part of the gateway project so trump wouldn t block it
483,5/3/2024,Democrat,our creative economy makes this region great - the art the music grateful to receive the support of western wisconsin s own themcouleeboys we re endorsing rebeccaforwi because the coulee region needs a homegrown working class voice to represent us in washington
484,5/3/2024,Democrat,our first phonebank was a success with 100s of calls made thank you so much to the volunteers and especially my parents who are the best phone bankers n nlet s get all the hernandez kids elected n nthanks to hernandez4pima for doing this jointly with us
485,5/3/2024,Democrat,our hearts break again today for the innocent lives taken in uvalde as i think of the unimaginable grief those families are feeling and the terror the victims faced i m more committed than ever to enacting smarter gun controls our families deserve so much better than this
486,5/3/2024,Democrat,our latest ad is out my opponent is trying to walk back her extreme stance on abortion but the fact remains repmmm co-sponsored a bill that would outlaw all abortions with no exceptions for rape incest or the woman s life n abortionrights n abortionishealthcare
487,5/3/2024,Democrat,our police officers are asked to do too much with too little i am happy to see the house pass the invest to protect act to provide our small departments with the resources they need to keep our communities safe
488,5/3/2024,Republican,our team ran the numbers and it turns out that 367b is in fact greater than the 0 potus assured us this bill would cost
489,5/3/2024,Democrat,out and about in joco today with laurakellyks n nit s almost game day folks time to buckle down and get out the vote - sign up here to volunteer with us
490,5/3/2024,Republican,over 350 000 raised in our first quarter thank you to everyone who chipped in to make this possible together we re going to defeat abigail spanberger in november
491,5/3/2024,Democrat,over 600 volunteers knocking on doors and talking to voters yesterday alone more than any house campaign in the country we re doing this the right way and we re only growing stronger
492,5/3/2024,Republican,over the past five decades what good has joe biden done for the black community
493,5/3/2024,Democrat,oxforddiplomat in 2022 north carolinians will elect a congressman who understands why comparing women to polaroid cameras is psychotic n ndonate today and help our campaign defeat madison cawthorn
494,5/3/2024,Democrat,passed a bipartisan us house bill - the most ambitious legislation targeting military toxic exposure since the vietnam war it s supported by 11 veterans service organizations n nvote 256-174 34 gop n nashley hinson voted no n n ia02 n n
495,5/2/2024,Republican,patilapedro or we could actually go back to producing it domestically
496,5/3/2024,Democrat,pattonoswalt i knew i should have signed up for soundcloud n nin the meantime everyone can contribute to my campaign at and help elect arizona s first-ever native american representative in congress n nok back to freaking out thank you patton oswalt
497,5/3/2024,Republican,peoples_pundit tedbuddnc the nrsc is they want him to lose they are throwing races so they can blame trump amp america first then they will say this is why you need to nominate our gope candidates n nit s sad but predictable party s are supposed to listen to their base not beat them into submission
498,5/3/2024,Republican,perhaps it would be wise of congress to forgo starting any new social programs - at least until the granddaddy of them all is fully solvent and hardworking legal residents can be assured of late life financial peace of mind
499,5/3/2024,Republican,peterschiff it does feel like 20 especially when the gas price got doubled inflacion gasprices
500,5/3/2024,Democrat,photo from a drone over virginia beach
501,5/3/2024,Democrat,please chip in 1 or any amount now to my race against him i understand the struggles working families have money is tight i grew up watching my mother struggle ni believe in you and you can bet your sweet a_ _ i will fight for you in congress n
502,5/3/2024,Democrat,please join joekerner4iowa lisa4iowa for an open meet amp greet thursday
503,5/3/2024,Republican,please join us for a campaign event in thomasville this thursday n nfolks across southwest and middle georgia know i ll fight for them everyday as their next congressman from ga-02 and i m honored to have so much support in this runoff election gapol ga02
504,5/3/2024,Democrat,please join us on march 29th at 5 30 pm to help kickoff the campaign n nrsvp to donate or to volunteer go to
505,5/3/2024,Democrat,please make a donation to ensure he never gets anywhere near the united states senate
506,5/3/2024,Democrat,polls are closed here we go thank you to everyone who helped me get this far n betonbrown
507,5/3/2024,Republican,potus - us household net worth falls over 6 trillion in q2 n- average cost to raise a family up 9 n- 70 of americans say us is on wrong track
508,5/3/2024,Republican,potus president trump reached a 60-year record low unemployment rate so actually you are doing worse since the only jobs you created were the same ones your tyrannical party cost millions of americans by implementing your undemocratic lockdowns
509,5/3/2024,Republican,potus trump did this and you reversed his decision via eo on your first day in office
510,5/3/2024,Republican,potus why not chicago or milwaukee
511,5/3/2024,Republican,potus working for china maybe n n
512,5/3/2024,Democrat,pramilajayapal indydemsstaff who wants to call pramila amp invite her n americanyouthf1 liamomaraiv seanframe ericg1247 shahidforchange maebe_a_girl aazamishervin callforcongress rozacalderon
513,5/3/2024,Republican,president joebiden s press secretary said today that their economic plan is working n n gas baby formula shortages and high grocery prices aren t working for everyday americans
514,5/3/2024,Republican,pritzker s illinois
515,5/3/2024,Republican,proud of teamgarcia for their work cleaning up pelona vista park and the surrounding streets in palmdale today awesome to see our team continue to take the time to care for our community even as the election approaches constitution capitalism competition charity
516,5/2/2024,Republican,proud to be a continual supporter of angel force usa take a moment and check them out as this hits home for many of us 22 n n20 veterans and 1 active duty suicide daily n ngo to put a stop to this
517,5/3/2024,Democrat,proud to help kick off the tucsoneastrong canvass this morning with so many dedicated teachers and supportive candidates let s talk to voters about how a strong education system builds strong communities economies and lives
518,5/3/2024,Republican,putin puts his nuclear forces at higher readiness level potus joebiden naps at private residence in delaware n have you endorsed this course of action you and his entire administration should resign n n bidenisafailure impeachbiden
519,5/3/2024,Democrat,putting workers first means fighting tooth and nail for n n1 fair pay n2 safe working conditions n3 good health care and benefits n nrt if you re ready to give ohio the most pro-worker senate delegation in the this november
520,5/3/2024,Republican,rationalgenius 90swillyswonder self hate this is complete and utter disrespect for the latino brothers brainwashed by the new left sounds like you re one of them
521,5/3/2024,Republican,rbreich happy columbus day
522,5/3/2024,Republican,reading through 40 pages of governorva amendments to the budget for friday s session at noon
523,5/3/2024,Republican,realbencarson you can t be the land of the free if you re not the home of the brave you gotta be able to stand up and i know john will do that
524,5/3/2024,Democrat,realcruzthomas twitter he did a land exchange between bureau of land management and bullhead city and named a post office otherwise working class people still suffer and struggling with kitchen table issues he doesn t care about his constituents
525,5/3/2024,Republican,realdante12 lbc360 they voted for it they voted for the elected officials who then approve the mass invasion of thousands of military aged men into their country who then do not assimilate but instead commit crimes against the very voters who voted who voted for these elected officials
526,5/3/2024,Republican,reassert himself on the world stage asap
527,5/3/2024,Republican,rebecca and i are heartbroken over the tragedy that took place in uvalde yesterday we re horrified by the senseless violence and we re praying for the victims and their families n
528,5/3/2024,Democrat,redistricting is shifting florida s 15th district bluer than ever making it the best pickup opportunity for democrats in the entire country n nit is clearer than ever if you help me defeat scott franklin kevin mccarthy will never be speaker
529,5/2/2024,Republican,remembering the service and sacrifice of these 13 heroes today their bravery and willingness to risk their lives in service of others is truly amazing and it s something we should never forget
530,5/3/2024,Republican,remembering those who gave their lives to maintain the american way of life memorialday reichertforcongress copolitics co7
531,5/3/2024,Republican,reminder evanmcmullin spent years pushing the validity of the steele dossier n nevan is a deep-state
532,5/3/2024,Republican,reminder not a single member of gop leadership has spoken out against the political prosecution of steve bannon
533,5/3/2024,Democrat,rep scott franklin doesn t want the january 6th committee investigating him and his buddies n ni want them to hold everyone accountable
534,5/3/2024,Republican,repbeatty happy columbus day today we celebrate the discovery of america which led to the founding of the united states the greatest country in the world and defender of freedom
535,5/3/2024,Republican,repdinatitus or maybe 57 republicans were brave enough to say that sending 40 billion dollars that we don t have to a foreign government when our own people are suffering at home is not a wise decision stopthespending americansfirst defeatdina nv01
536,5/3/2024,Republican,replace fauci
537,5/3/2024,Democrat,repmiketurner treyyingst you can meet with zelensky but not your constituents way to go repmiketurner
538,5/3/2024,Democrat,riverside county is home to many retirees and seniors yet ken calvert keeps giving tax breaks to the rich rather than helping protect older americans i will prioritize supporting seniors by strengthening retirement income security reducing prescription drug costs and more
539,5/3/2024,Republican,ronnyjacksontx kbackous no more show trials and spots on hannity promising to get to the bottom of things n ninvestigation impeachment indictment n nget it done
540,5/3/2024,Democrat,rounding out a busy day of talking to voters with team hernandez i am so amazed by the way my team has showed up and the response we ve gotten from the community n nloved having special guests come help in these last two days
541,5/3/2024,Democrat,rt if you believe madison cawthorn should be issued a subpoena for his involvement in planning the jan 6 insurrection
542,5/3/2024,Republican,rt if you think the left s progressive policies are out of touch with the american people
543,5/3/2024,Democrat,rt so we can make it happen
544,5/3/2024,Democrat,ryan 48 who grew up in niles and experienced both the mahoning valley s painful manufacturing retrenchments and its current hopes to become the voltage valley is the superior choice for democrats n nthank you clevelanddotcom and theplaindealer
545,5/3/2024,Democrat,saenzmom betoorourke jay4txland judithzaffirini collierfortexas hays4ag rochellemgarza lukewarfordtx janet4texas thank you mal and live oak county dems you are our tx15 warriors so excited to see you all soon - mv
546,5/3/2024,Republican,sandrastevensen yes indeed am doing
547,5/2/2024,Republican,saturday is for doors thankful for my team of vols who help spread the word about our campaign americafirst
548,5/3/2024,Democrat,saturday starts the new year that means the democratic primary is a bit more than 8 months away and the general election 11 months i plan to win in august and send congressman bilirakis home for good in november but i need everyone s help re-tweet my posts to friends family
549,5/3/2024,Republican,saturdays are for doors so i m told n nproud of our grassroots team taking our message to the voters of ct05 n nmaybe we ll catch you in the hardware city on this beautiful saturday morning n ctpolitics
550,5/2/2024,Republican,saving the babies thank you for a beautiful event nvrighttolife
551,5/3/2024,Democrat,scott franklin and matt gaetz are best friends that s why i m running to defeat franklin and hold gaetz accountable can you chip in a few dollars today to continue this momentum
552,5/3/2024,Democrat,scott franklin and matt gaetz are best friends that s why i m running to defeat franklin and hold gaetz accountable can you chip in a few dollars today to continue this momentum
553,5/3/2024,Republican,seanmdav brianjperren mitch is a threat to america
554,5/3/2024,Republican,secure the border and impose the death penalty on those convicted of drug smuggling no more slaps on the wrist
555,5/3/2024,Democrat,see our interview with solar policy expert delchiarosolar of calssa_org n n
556,5/3/2024,Republican,senatordurbin it actually does senator
557,5/3/2024,Democrat,senschumer please explain why the dccc is spending 400k to elect a trumper in mi- but won t return calls of a d running in oh-10
558,5/3/2024,Republican,serious crimes have increased in just one year in santa clarita and local families are worried i ve been calling for gascon s resignation for months and i m pleased to see local government taking steps to stand up and protect our communities n
559,5/3/2024,Republican,sexyjedi secularoutpost state won t provide the raw data see my other tweet
560,5/3/2024,Democrat,she works for laura loomer makes sense now
561,5/3/2024,Democrat,shout out to republicans who love their public schools teachers education for their children n nwe support you ca03 ca01 ca05 ca06 ca07 ca02 ca04 ca09 maxsteinerca joshharder beraforcongress johngaramendi jaredhuffman mike_ca05 speakerpelosi dorismatsui
562,5/2/2024,Republican,show support for newberg schools by helping to fight for our kids if they succeed in newberg they will be coming for a school near you next
563,5/3/2024,Republican,show your support for jenniferruthgreen by proudly displaying a yard sign nrequest your yard sign at or stop by jrg headquarters at 250 w 61st ave in merrillville to grab your yard sign amp bumper sticker noffice hours mon 10a-8p 10a-5p in01
564,5/2/2024,Democrat,show your support for my campaign by requesting a yard sign n njust go to and select volunteer under the get involved tab to request your sign today n nthank you for showing your support as we work to ensure nepa continues to have a voice in washington
565,5/3/2024,Democrat,snowden thanks for beta-testing buddy n nwanna chat about the 2022election amp possible trends in primary voting n n
566,5/3/2024,Republican,so excited to open our brand new headquarters in buena park thanks to the hundreds who came out to support our campaign ca45 standwithsteel
567,5/3/2024,Democrat,so much energy love and support from the 15 800 people running amp walking in the 2022 mercycr efyrace n nwe must continue to work toward a cure for breast cancer and at the same time improve access to care and create affordable screening and treatment
568,5/3/2024,Democrat,so please tell me gtconway3d wouldn t this be a class d or c felony and investigated by the fbi nany other working-class american would be
569,5/3/2024,Democrat,so proud to be endorsed by votenewdems good governance real results onward ia01
570,5/3/2024,Republican,so saving an unborn baby is cruel but murdering an unborn baby is not okay karen go away staceyabrams
571,5/3/2024,Democrat,social security nmedicare nreproductive rights nmarriage equality nvoting rights ndemocracy nit s all on the ballot your vote is your voice and your voice matters vote
572,5/3/2024,Republican,socialists want to destroy your country stop them by volunteering today
573,5/3/2024,Democrat,solar_rights gavinnewsom the time for phone calls has passed time to volunteer and donate to 2022 candidates that will take action to curb inflation caused by monopoly utility firms n nsolar liberty for all
574,5/3/2024,Democrat,solar_rights look at the rooftop in the photo n nthe corrupt monopoly utility restrict the solar install to 20 of the area n ni am the only politician nationwide fighting to allow american citizens to install solar on the other 80 of the rooftop amp sell to neighbors at half price
575,5/3/2024,Democrat,solarpower4usa n nhave you seen the videos of solar professionals talking about eliminating the existing fines fees and restrictions on residential solar
576,5/3/2024,Democrat,some 60-70 veterans commit suicide in new jersey every year nationwide more young vets have taken their lives since 2001 than have fallen in our nation s wars better diagnosing and caring for vets suffering from mental illness or substance abuse is key to saving lives
577,5/3/2024,Democrat,something that i believe in that didn t make my campaign page term limits i believe the house and senate should be limited to 12 years that way stale people with stale ideas can make room for younger people with fresh ideas n
578,5/3/2024,Democrat,south texans deserve the best and i m ready to fight for our home and our families every single day n njoin our growing movement and donate today at n nlet s make history south texas
579,5/3/2024,Republican,speaking at merrimack gop with other candidates thanks for having me wonderful mexican food from los primos restaurant a gorgeous day in the granite state nhgop nhfrw jondipietronh lily4congress
580,5/3/2024,Democrat,statement from deborah on her endorsement
581,5/3/2024,Republican,stclairashley keep your sexuality out of our children s classroom
582,5/3/2024,Democrat,stevephoto5 hi steve the new maps are not loaded yet on the secretary of state or county government websites but here is 2 websites sign my petition if you currently live in az06 and the redistricting website zoom in to see street detail n
583,5/3/2024,Republican,stevesisolak out
584,5/3/2024,Democrat,strikerobi i support a public financing system in line hr 1 candidates who work hard and earn support should have a system that allows them to grow their campaign with small dollars while also reducing the influence of big more here
585,5/3/2024,Republican,stunning failure a 38 decrease in people moving to california and a 12 increase in people moving out n nleft-wing policies and brutal covid lockdowns and mandates are wreaking havoc on our state and destroying our quality of life n ntime to wake up n n
586,5/2/2024,Republican,such a great party thank you nvgop for the christmas fun
587,5/3/2024,Democrat,suem49039784 1zzyzyx1 thanks
588,5/3/2024,Democrat,supporting american manufacturing means supporting american workers and supporting american workers means supporting our unions n ni will always stand in solidarity with pennsylvania unions and pennsylvania workers efforts to organize
589,5/3/2024,Democrat,supporting these critical az citizen initiatives that protect our democracy and working families stopdarkmoney healthcarerising and arizonansforfairelections
590,5/3/2024,Democrat,taking time to express my gratitude on laborday for the people amp unions that have fought and continue to fight for the rights wages amp benefits that workers deserve let s support candidates who will work to pass the pro act so worker s rights keep moving forward
591,5/3/2024,Republican,tgladish2 agreed
592,5/3/2024,Democrat,thank you barrymarkson1 for having me on if you didn t get a chance to listen follow ktar923 for the highlights
593,5/3/2024,Republican,thank you for your support repbarrymoore i m honored to have your endorsement and so many other members of congress n nit s time to flipthehouse and that starts right here in va07 by defeating abigail spanberger
594,5/3/2024,Republican,thank you maria for introducing me to edwin from new britain and almira charleen and the entire staff at caribbean restaurant in meriden n n ct5 n meridenct n soylatinocomotu n georgeloganforcongress n n
595,5/3/2024,Republican,thank you mr kelvin king for coming down to fellowship with the dougherty and lee county republican party tonight mr king is running for senate he is a good man and a patriot to this country
596,5/3/2024,Republican,thank you so much for having me on joetalkshow henry cuellar is a slick politician amp votes 95 of the time with nancy pelosi he even voted against life saving border infrastructure it s time to send henry cuellar packing tx28
597,5/3/2024,Republican,thank you so much for joining me tedcruz chiproytx amp brennanfortexas in laredo glennpstory let s do this tx28
598,5/3/2024,Republican,thank you so much to the innovative pain care center for inviting me to your 20-year anniversary celebration i was so thrilled to see my dear friends dr dan burkhead and his wonderful wife mrs lisa burkhead there congratulations to ipcc on this incredible milestone nv03
599,5/2/2024,Republican,thank you steve what a great kickoff for the latinosforlaxalt movement we are going to take this country back
600,5/3/2024,Democrat,thank you to all service men and women and community organizers that brought us together for the 94th annual independence day celebration in mcallen tx it was a beautiful day to be out with the community alongside congressman votevicente and his family n n freedom tx15 rgv
601,5/3/2024,Democrat,thank you to all the teachers who showed up today in athens to share the realities of being an educator in ohio over the past year and how we can best support young people n nto my wife andrea and teachers across the country happy national teacher s day
602,5/3/2024,Republican,thank you to all those who turned out to canvass in irvine for my campaign anthonykuo choi4assembly and john park we had a great day knocking doors
603,5/3/2024,Democrat,thank you to coshocton s firefighters for hosting me today and for all you do to keep us safe
604,5/3/2024,Democrat,thank you to everyone who joined our first canvass launch of the year to make sure we keep iowa s 3rd congressional district blue ia03
605,5/3/2024,Democrat,thank you to my friend nickolas butler for his support in this race as i travel across the 3rd congressional district i m so grateful for the outpouring of support from my friends neighbors and colleagues
606,5/3/2024,Democrat,thank you to the 200 volunteers who knocked on 7 000 doors across the 6 counties of our district today you made this our biggest weekend yet with 15 more launches still to go tomorrow
607,5/3/2024,Democrat,thank you to the islamic center of orange county for having me at your candidate town hall this afternoon
608,5/3/2024,Republican,thankful for our first responders and to be able to participate in the back the blue rally in the frostburgcity this afternoon
609,5/3/2024,Republican,thankful to have mikepompeo here in cincinnati today fascinating to hear his perspective on the global crises we re facing today thank you for your friendship and support n chairmanalex n oh01
610,5/3/2024,Democrat,thanks debra from palm desert i appreciate your support
611,5/3/2024,Republican,thanks for having me this morning drewhampshire
612,5/3/2024,Democrat,thanks so much to everyone who knocked on doors in lake elsinore to help spread the word about our campaign we ve got the best volunteers and i m so grateful
613,5/3/2024,Democrat,thanks to chef jose andres for providing lunch for the entire capitol police force today which some of my colleagues who were in the house chamber on january 6 and i were honored to serve n nthe bravery and good judgement of these officers saved us and our democracy
614,5/3/2024,Democrat,thanks to everyone who came out to the wildomar town hall it was great seeing those passionate to fight for our democracy wheresyourrep willsrighthere
615,5/3/2024,Democrat,thanks to seanbowie for being a leader on this important issue impacting so many arizona families n nhe s a workhorse not a show horse and has managed to get it out of the senate before
616,5/3/2024,Democrat,the american people already sacrifice everyday because of the democratic majority amp their refusal to deliver on campaign promises amp platform n ndemocrats work for the corporations that need protection from free-market competition
617,5/3/2024,Republican,the biden administration is responsible for our border crisis and their plan is not to beef up border security no their plan is to pay illegal immigrants 450 000 each for breaking our laws this is insanity n n
618,5/3/2024,Democrat,the climate crisis will reach a point of no return if we fail to act now n nwe need more investment and more infrastructure and we need it now
619,5/3/2024,Republican,the democrats careless spending continues to devalue our hard earned dollar the debt we are leaving for our children continues to grow it is time to stand up to the leftwing elite
620,5/3/2024,Republican,the energy on the ground in nevada is undeniable as republicans have a massive opportunity to turn nevada red both in the senate race and for congress i know we can flip the 4th and i m the candidate to do it n
621,5/3/2024,Republican,the falsehood being pushed by repmrvan politico amp parroted by irresponsible outlets like nwi begins to unravel foxnews reported that the air force confirmed they wouldn t release my confidential personnel files amp didn t release them through foia
